"date","session_time","stationID","number_of_users","average_power_usage"
4448507-04-21,"1624064400","2-39-81-4550",1,39.1338842975207
4448665-01-02,"1624122000","2-39-81-4550",1,42.0831024930748
4448674-11-11,"1624125600","2-39-81-4550",1,32.0151556156969
4448773-06-05,"1624161600","2-39-81-4550",1,35.9778051787916
4449207-02-10,"1624320000","2-39-81-4550",1,37.7008695652174
4449404-03-29,"1624392000","2-39-81-4550",1,19.9231441048035
4449680-03-21,"1624492800","2-39-81-4550",1,26.60625
4449916-10-11,"1624579200","2-39-129-17",1,0.941459227467811
4449946-05-07,"1624590000","2-39-81-4550",1,36.3849255039439
4450311-01-14,"1624723200","2-39-81-4550",1,35.5825851567787
4450577-02-27,"1624820400","2-39-81-4550",1,43.065118021731
4450587-01-06,"1624824000","2-39-81-4550",1,41.8093181116939
4451119-04-08,"1625018400","2-39-81-4550",1,33.4586156111929
4451296-09-05,"1625083200","2-39-130-31",1,6.78739118965972
4451365-09-04,"1625108400","2-39-81-4550",1,42.6980392156863
4451562-10-22,"1625180400","2-39-81-4550",1,36.9320825515948
4452026-01-22,"1625349600","2-39-81-4550",1,31.9612813370473
4452035-12-01,"1625353200","2-39-81-4550",1,33.0979816513761
4452075-05-05,"1625367600","2-39-81-4550",1,34.9174377224199
4452085-03-13,"1625371200","2-39-81-4550",1,32.6527245949926
4452095-01-20,"1625374800","2-39-81-4550",1,42.6392523364486
4452528-09-27,"1625533200","2-39-81-4550",1,27.6299251870324
4452538-08-06,"1625536800","2-39-81-4550",1,39.7709824333116
4452647-01-07,"1625576400","2-39-81-4550",1,27.4193181818182
4452962-06-04,"1625691600","2-39-81-4550",1,41.0498630136986
4453208-11-01,"1625781600","2-39-81-4550",1,37.7858267716535
4454825-04-18,"1626372000","2-39-78-366",1,0.323824008690929
4455968-08-24,"1626789600","2-39-139-28",1,6.47626189789443
4456234-10-09,"1626886800","2-39-81-4550",1,42.4887144259078
4456481-03-07,"1626976800","2-39-81-4550",1,40.6548628428928
4456550-03-06,"1627002000","2-39-139-28",1,3.4549244398124
4456786-09-25,"1627088400","2-39-139-28",1,3.44020887728459
4457013-06-07,"1627171200","2-39-81-4550",1,43.0504672897196
4457476-09-07,"1627340400","2-39-81-4550",1,34.0552278820375
4457516-02-11,"1627354800","2-39-81-4550",1,38.9652308645801
4457949-10-18,"1627513200","2-39-129-17",1,1.5997968511935
4458403-03-12,"1627678800","2-39-129-17",1,0.620986313273952
4458452-06-22,"1627696800","2-39-81-4550",1,36.7747443308137
4458679-03-05,"1627779600","2-39-81-4550",1,36.9589285714286
4458886-02-27,"1627855200","2-39-81-4550",1,17.694740608229
