date,stationID,number_of_users,average_power_usage
2019-11-01,2-39-88-24,1,0.221790074832611
2019-11-01,2-39-89-25,2,1.44942634923633
2019-11-01,2-39-89-439,1,1.38873183619551
2019-11-01,2-39-90-26,1,0.89876871567226
2019-11-01,2-39-91-441,1,1.45123110709211
2019-11-01,2-39-92-436,1,5.73153603034134
2019-11-01,2-39-95-27,1,2.81708595319894
2019-11-01,2-39-95-444,1,1.74642581164475
2019-11-02,2-39-128-18,1,0.834
2019-11-02,2-39-129-17,2,4.10054865120347
2019-11-02,2-39-130-31,1,0.572370652173913
2019-11-02,2-39-138-29,1,1.24820215695273
2019-11-02,2-39-138-566,1,0.881
2019-11-02,2-39-139-28,2,1.62154711108002
2019-11-02,2-39-78-364,2,0.609112664991821
2019-11-02,2-39-79-378,1,3.17702589198327
2019-11-02,2-39-79-381,1,0.609081543391651
2019-11-02,2-39-83-386,1,0.881
2019-11-02,2-39-89-25,2,1.21750755551485
2019-11-02,2-39-90-26,1,2.04636776390465
2019-11-02,2-39-91-437,2,1.53631980847388
2019-11-02,2-39-91-441,1,3.23911568993404
2019-11-02,2-39-92-436,1,3.16657991266376
2019-11-03,2-39-129-17,1,1.00510425614994
2019-11-03,2-39-131-30,1,1.41423507692308
2019-11-03,2-39-139-28,1,1.86328743260058
2019-11-03,2-39-79-377,1,4.91688998124088
2019-11-04,2-39-123-23,1,0.20133035971223
2019-11-04,2-39-124-22,1,5.02684826514759
2019-11-04,2-39-125-21,1,0.871
2019-11-04,2-39-127-19,1,2.93169962238242
